Identification.ID,Is_Hybrid,Engine Information.Engine Type,Year,Driveline,Transmission,Horsepower,Torque,Displacement,Cylinder_Count,Gears_Forward,Height,Length,Width,MPG_CITY,MPG_HWY,Fuel_Type,Make,Model_Year
2012 Acura TL,TRUE,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,2012,1,2,280,254,3.5,6 ,6,172,63,87,20,29,Gasoline,Acura,2012 Acura TL
2012 Acura TL SH-3,TRUE,Acura 3.7L 6 Cylinder 305 hp 273 ft-lbs,2012,3,2,305,273,3.7,6 ,6,172,63,87,18,26,Gasoline,Acura,2012 Acura TL
2010 Acura MDX,TRUE,Acura 3.7L 6 Cylinder 300 hp 270 ft-lbs,2010,3,2,300,270,3.7,6 ,6,197,3,202,16,21,Gasoline,Acura,2010 Acura MDX
2011 Acura MDX,TRUE,Acura 3.7L 6 Cylinder 300 hp 270 ft-lbs,2011,3,2,300,270,3.7,6 ,6,197,3,202,16,21,Gasoline,Acura,2011 Acura MDX
2010 Acura RDX,TRUE,Acura 2.3L 4 Cylinder 240 hp 260 ft-lbs TURBO,2010,1,2,240,260,2.3,4 ,5,119,27,78,19,24,Gasoline,Acura,2010 Acura RDX
2010 Acura RDX SH-3,TRUE,Acura 2.3L 4 Cylinder 240 hp 260 ft-lbs TURBO,2010,3,2,240,260,2.3,4 ,5,119,27,78,17,22,Gasoline,Acura,2010 Acura RDX
2011 Acura RDX,TRUE,Acura 2.3L 4 Cylinder 240 hp 260 ft-lbs TURBO,2011,1,2,240,260,2.3,4 ,5,119,27,78,19,24,Gasoline,Acura,2011 Acura RDX
2011 Acura RDX SH-3,TRUE,Acura 2.3L 4 Cylinder 240 hp 260 ft-lbs TURBO,2011,3,2,240,260,2.3,4 ,5,119,27,78,17,22,Gasoline,Acura,2011 Acura RDX
2010 Acura ZDX,TRUE,Acura 3.7L 6 Cylinder 300 hp 270 ft-lbs,2010,3,2,300,270,3.7,6 ,6,60,23,203,16,23,Gasoline,Acura,2010 Acura ZDX
2011 Acura ZDX,TRUE,Acura 3.7L 6 Cylinder 300 hp 270 ft-lbs,2011,3,2,300,270,3.7,6 ,6,60,23,203,16,23,Gasoline,Acura,2011 Acura ZDX
2010 Acura RL,TRUE,Acura 3.7L 6 Cylinder 300 hp 271 ft-lbs,2010,3,2,300,271,3.7,6 ,5,175,109,55,16,22,Gasoline,Acura,2010 Acura RL
2011 Acura RL,TRUE,Acura 3.7L 6 Cylinder 300 hp 271 ft-lbs,2011,3,2,300,271,3.7,6 ,6,175,109,55,17,24,Gasoline,Acura,2011 Acura RL
2010 Acura TL,TRUE,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,2010,1,2,280,254,3.5,6 ,5,172,101,88,18,26,Gasoline,Acura,2010 Acura TL
2010 Acura TL SH-3,TRUE,Acura 3.7L 6 Cylinder 305 hp 273 ft-lbs,2010,3,2,305,273,3.7,6 ,5,172,101,88,17,25,Gasoline,Acura,2010 Acura TL
2010 Acura TL SH-3 MT,TRUE,Acura 3.7L 6 Cylinder 305 hp 273 ft-lbs,2010,3,1,305,273,3.7,6 ,6,172,101,88,17,25,Gasoline,Acura,2010 Acura TL
