passedemissions,mpg,cylinders,displacement,horsepower,weight,acceleration,modelyear,carname
FALSE,18,8,307,130,1.752,12,70,chevrolet chevelle malibu
FALSE,15,8,350,165,1.8465,11.5,70,buick skylark 320
FALSE,18,8,318,150,1.718,11,70,plymouth satellite
FALSE,16,8,304,150,1.7165,12,70,amc rebel sst
FALSE,17,8,302,140,1.7245,10.5,70,ford torino
FALSE,15,8,429,198,2.1705,10,70,ford galaxie 500
FALSE,14,8,454,220,2.177,9,70,chevrolet impala
FALSE,14,8,440,215,2.156,8.5,70,plymouth fury iii
FALSE,14,8,455,225,2.2125,10,70,pontiac catalina
FALSE,15,8,390,190,1.925,8.5,70,amc ambassador dpl
FALSE,15,8,383,170,1.7815,10,70,dodge challenger se
FALSE,14,8,340,160,1.8045,8,70,plymouth 'cuda 340
FALSE,15,8,400,150,1.8805,9.5,70,chevrolet monte carlo
FALSE,14,8,455,225,1.543,10,70,buick estate wagon (sw)
TRUE,24,4,113,95,1.186,15,70,toyota corona mark ii
TRUE,22,6,198,95,1.4165,15.5,70,plymouth duster
FALSE,18,6,199,97,1.387,15.5,70,amc hornet
TRUE,21,6,200,85,1.2935,16,70,ford maverick
TRUE,27,4,97,88,1.065,14.5,70,datsun pl510
TRUE,26,4,97,46,0.9175,20.5,70,volkswagen 1131 deluxe sedan
TRUE,25,4,110,87,1.336,17.5,70,peugeot 504
TRUE,24,4,107,90,1.215,14.5,70,audi 100 ls
TRUE,25,4,104,95,1.1875,17.5,70,saab 99e
TRUE,26,4,121,113,1.117,12.5,70,bmw 2002
TRUE,21,6,199,90,1.324,15,70,amc gremlin
FALSE,10,8,360,215,2.3075,14,70,ford f250
FALSE,10,8,307,200,2.188,15,70,chevy c20
FALSE,11,8,318,210,2.191,13.5,70,dodge d200
FALSE,9,8,304,193,2.366,18.5,70,hi 1200d
TRUE,27,4,97,88,1.065,14.5,71,datsun pl510
TRUE,28,4,140,90,1.132,15.5,71,chevrolet vega 2300
TRUE,25,4,113,95,1.114,14,71,toyota corona
TRUE,19,6,232,100,1.317,13,71,amc gremlin
FALSE,16,6,225,105,1.7195,15.5,71,plymouth satellite custom
FALSE,17,6,250,100,1.6645,15.5,71,chevrolet chevelle malibu
TRUE,19,6,250,88,1.651,15.5,71,ford torino 500
FALSE,18,6,232,100,1.644,15.5,71,amc matador
FALSE,14,8,350,165,2.1045,12,71,chevrolet impala
FALSE,14,8,400,175,2.232,11.5,71,pontiac catalina brougham
FALSE,14,8,351,153,2.077,13.5,71,ford galaxie 500
FALSE,14,8,318,150,2.048,13,71,plymouth fury iii
FALSE,12,8,383,180,2.4775,11.5,71,dodge monaco (sw)
FALSE,13,8,400,170,2.373,12,71,ford country squire (sw)
FALSE,13,8,400,175,2.57,12,71,pontiac safari (sw)
FALSE,18,6,258,110,1.481,13.5,71,amc hornet sportabout (sw)
TRUE,22,4,140,72,1.204,19,71,chevrolet vega (sw)
TRUE,19,6,250,100,1.641,15,71,pontiac firebird
FALSE,18,6,250,88,1.5695,14.5,71,ford mustang
TRUE,23,4,122,86,1.11,14,71,mercury capri 2000
TRUE,28,4,116,90,1.0615,14,71,opel 1900
TRUE,30,4,79,70,1.037,19.5,71,peugeot 304
TRUE,30,4,88,76,1.0325,14.5,71,fiat 124b
TRUE,31,4,71,65,0.8865,19,71,toyota corolla 1200
TRUE,35,4,72,69,0.8065,18,71,datsun 1200
TRUE,27,4,97,60,0.917,19,71,volkswagen model 111
TRUE,26,4,91,70,0.9775,20.5,71,plymouth cricket
TRUE,24,4,113,95,1.139,15.5,72,toyota corona hardtop
TRUE,25,4,97.5,80,1.063,17,72,dodge colt hardtop
TRUE,23,4,97,54,1.127,23.5,72,volkswagen type 3
TRUE,20,4,140,90,1.204,19.5,72,chevrolet vega
TRUE,21,4,122,86,1.113,16.5,72,ford pinto runabout
FALSE,13,8,350,165,2.137,12,72,chevrolet impala
FALSE,14,8,400,175,2.1925,12,72,pontiac catalina
FALSE,15,8,318,150,2.0675,13.5,72,plymouth fury iii
